Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Theme
52,000720,KR7000720003,현대건설,KOSPI,,174900,1,600,0.34,176600,179500,173800,1390912,244781781100,19476123298500,111355765,STK,기타
53,024110,KR7024110009,기업은행,KOSPI,,22550,2,-50,-0.22,22650,22700,22500,991618,22393440850,17981953345950,797425869,STK,기타
54,047810,KR7047810007,한국항공우주,KOSPI,,182500,2,-4300,-2.3,187100,187500,181900,599874,110183284950,17789207027500,97475107,STK,기타
55,086280,KR7086280005,현대글로비스,KOSPI,,233500,1,7500,3.32,231000,234000,228500,153535,35656933000,17512500000000,75000000,STK,기타
56,030200,KR7030200000,KT,KOSPI,,62700,2,-100,-0.16,63100,63600,62200,940085,59830495700,15801759649500,252021685,STK,기타
57,278470,KR7278470000,에이피알,KOSPI,,410000,2,-4500,-1.09,417000,426000,408000,202109,83551311000,15349643550000,37438155,STK,기타
58,003550,KR7003550001,LG,KOSPI,,95000,1,1500,1.6,93600,95700,93600,228648,21672455850,14651050575000,154221585,STK,기타
59,071050,KR7071050009,한국금융지주,KOSPI,,262000,1,1000,0.38,264000,266000,260000,199774,52398534750,14600209904000,55725992,STK,기타
60,0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,573000,2,-6000,-1.04,584000,587000,570000,42193,24218766000,14257987077000,24883049,STK,기타
61,018260,KR7018260000,삼성에스디에스,KOSPI,,180200,1,400,0.22,181200,182500,176500,285741,51259019600,13943479560000,77377800,STK,기타
62,047050,KR7047050000,포스코인터내셔널,KOSPI,,77500,1,700,0.91,76900,78000,76200,551514,42616538200,13634016070000,175922788,STK,기타
63,047040,KR7047040001,대우건설,KOSPI,,32850,1,4750,16.9,28950,34650,28850,94465084,3083730978225,13498315908300,410907638,STK,기타
64,010950,KR7010950004,S-Oil,KOSPI,,114300,2,-1600,-1.38,115300,115600,113900,358211,41050687550,12868213125600,112582792,STK,기타
65,005940,KR7005940002,NH투자증권,KOSPI,,35950,1,800,2.28,35450,35950,35250,630615,22489263150,12810580065550,356344369,STK,기타
